CPT_HCPCS,MOD,DESCRIPTION,PHYSICIAN_FEE_NORTH,PHYSICIAN_FEE_SOUTH,COL6,ASC_FEE_NORTH,ASC_FEE_SOUTH,PAYMENT_INDICATOR
11900.0,,INJECTION INTO SKIN LESIONS,90.58,86.02,,121.44,111.78,
11901.0,,ADDED SKIN LESIONS INJECTION,113.27,108.02,,121.44,111.78,
11950.0,,THERAPY FOR CONTOUR DEFECTS,113.05,107.85,,131.01,120.6,
11951.0,,THERAPY FOR CONTOUR DEFECTS,160.21,153.19,,175.47,161.52,
11960.0,,INSERT TISSUE EXPANDER(S),1436.9,1374.88,,2972.49,2736.03,
11981.0,,INSERT DRUG IMPLANT DEVICE,216.27,206.2,,89.55,82.44,X
11982.0,,REMOVE DRUG IMPLANT DEVICE,240.23,229.28,,89.55,82.44,X
12001.0,,REPAIR SUPERFICIAL WOUND(S),156.46,148.5,,177.81,163.68,
12002.0,,REPAIR SUPERFICIAL WOUND(S),182.44,173.64,,177.81,163.68,
12004.0,,REPAIR SUPERFICIAL WOUND(S),215.99,205.84,,177.81,163.68,
12005.0,,REPAIR SUPERFICIAL WOUND(S),277.27,264.61,,177.81,163.68,
12006.0,,REPAIR SUPERFICIAL WOUND(S),334.76,319.54,,177.81,163.68,
12011.0,,REPAIR SUPERFICIAL WOUND(S),187.04,177.76,,177.81,163.68,
12013.0,,REPAIR SUPERFICIAL WOUND(S),200.42,190.64,,177.81,163.68,
12014.0,,REPAIR SUPERFICIAL WOUND(S),236.44,225.3,,177.81,163.68,
12015.0,,REPAIR SUPERFICIAL WOUND(S),289.42,275.96,,177.81,163.68,
12016.0,,REPAIR SUPERFICIAL WOUND(S),360.23,344.19,,177.81,163.68,
12017.0,,REPAIR SUPERFICIAL WOUND(S),268.51,260.21,,177.81,163.68,
12018.0,,REPAIR SUPERFICIAL WOUND(S),319.54,309.13,,177.81,163.68,
12020.0,,CLOSE SPLIT WOUND,431.6,410.59,,619.29,570.03,
12021.0,,CLOSE SPLIT WOUND,254.1,242.74,,421.8,388.26,
12031.0,,INTERMED WOUND REPAIR S/TRT/EXT,392.46,372.69,,177.81,163.68,
12032.0,,INTERMED WOUND REPAIR S/TRT/EXT,496.44,470.58,,421.8,388.26,
12034.0,,INTERMED WOUND REPAIR S/TRT/EXT,491.15,467.17,,177.81,163.68,
12035.0,,INTERMED WOUND REPAIR S/TRT/EXT,596.6,567.24,,177.81,163.68,
12036.0,,INTERMED WOUND REPAIR S/TRT/EXT,649.31,618.41,,421.8,388.26,
12037.0,,INTERMED WOUND REPAIR S/TRT/EXT,726.61,692.45,,421.8,388.26,
12041.0,,INTERMED WOUND REPAIR N-HF/GENITAL,408.73,388.48,,177.81,163.68,
12042.0,,INTERMED WOUND REPAIR N-HG/GENITAL,468.02,444.84,,177.81,163.68,
12044.0,,INTERMED WOUND REPAIR N-HG/GENITAL,555.19,527.51,,177.81,163.68,
12045.0,,INTERMED WOUND REPAIR N-HG/GENITAL,592.76,564.13,,421.8,388.26,
12046.0,,INTERMED WOUND REPAIR N-HG/GENITAL,703.34,669.51,,421.8,388.26,
12047.0,,INTERMED WOUND REPAIR N-HG/GENITAL,763.38,726.74,,421.8,388.26,
12051.0,,INTERMED WOUND REPAIR FACE/MM,432.9,411.35,,421.8,388.26,
12052.0,,INTERMED WOUND REPAIR FACE/MM,494.15,469.44,,177.81,163.68,
12053.0,,INTERMED WOUND REPAIR FACE/MM,545.55,518.41,,177.81,163.68,
12054.0,,INTERMED WOUND REPAIR FACE/MM,577.47,549.29,,177.81,163.68,
12055.0,,INTERMED WOUND REPAIR FACE/MM,691.03,658.09,,421.8,388.26,
12056.0,,INTERMED WOUND REPAIR FACE/MM,826.26,786.0,,421.8,388.26,
12057.0,,INTERMED WOUND REPAIR FACE/MM,942.59,896.6,,421.8,388.26,
13100.0,,REPAIR WOUND OR LESION,503.63,479.3,,619.29,570.03,
13101.0,,REPAIR WOUND OR LESION,640.87,609.63,,619.29,570.03,
13102.0,,"REPAIR WOUND/LESION, ADDED",172.7,164.94,,619.29,570.03,
13120.0,,REPAIR WOUND OR LESION,523.71,498.53,,421.8,388.26,
13121.0,,REPAIR WOUND OR LESION,714.49,679.65,,421.8,388.26,
13122.0,,"REPAIR WOUND/LESION, ADDED",190.24,181.88,,177.81,163.68,
13131.0,,REPAIR WOUND OR LESION,577.33,549.97,,421.8,388.26,
13132.0,,REPAIR WOUND OR LESION,932.23,889.11,,619.29,570.03,
13133.0,,"REPAIR WOUND/LESION, ADDED",267.99,256.52,,421.8,388.26,
13150.0,,REPAIR WOUND OR LESION,573.56,546.58,,619.29,570.03,
13151.0,,REPAIR WOUND OR LESION,652.83,622.29,,619.29,570.03,
13152.0,,REPAIR WOUND OR LESION,901.38,859.71,,619.29,570.03,
13153.0, ,"REPAIR WOUND/LESION, ADDED",294.26,281.64,,421.8,388.26,
13160.0,,LATE CLOSE WOUND,1274.88,1226.45,,2972.49,2736.03,
14000.0,,SKIN TISSUE REARRANGEMENT,1001.58,953.82,,2296.11,2113.44,
14001.0,,SKIN TISSUE REARRANGEMENT,1289.02,1229.26,,2296.11,2113.44,
14020.0,,SKIN TISSUE REARRANGEMENT,1124.57,1070.9,,2296.11,2113.44,
14021.0,,SKIN TISSUE REARRANGEMENT,1408.28,1342.85,,2296.11,2113.44,
14040.0,,SKIN TISSUE REARRANGEMENT,1235.25,1177.91,,2296.11,2113.44,
14041.0,,SKIN TISSUE REARRANGEMENT,1529.97,1459.32,,2296.11,2113.44,
14060.0,,SKIN TISSUE REARRANGEMENT,1251.46,1194.92,,2296.11,2113.44,
14061.0,,SKIN TISSUE REARRANGEMENT,1643.34,1566.97,,2296.11,2113.44,
14301.0,,SKIN TISSUE REARRANGEMENT,1770.48,1689.95,,2972.49,2736.03,
14302.0,,SKIN TISSUE REARRANGE ADDED,369.95,356.41,,2972.49,2736.03,
15002.0,,"WOUND PREP, TRUNK/ARM/LEG",538.12,513.17,,619.29,570.03,
15003.0,,"WOUND PREP, ADDED 100 CM",117.04,111.7,,619.29,570.03,
15004.0,,"WOUND PREP, F/N/HF/G",631.19,602.33,,619.29,570.03,
15005.0,,"WOUND PREP, F/N/HF/G, ADDED CM",191.65,183.76,,619.29,570.03,
15050.0,,SKIN PINCH GRAFT,898.35,854.77,,619.29,570.03,
15100.0,,"SKIN SPLIT GRAFT, TRUNK/ARM/LEG",1374.74,1313.41,,2972.49,2736.03,
15101.0,,"SKIN SPLIT GRAFT T/A/L, ADDED",300.62,285.81,,2972.49,2736.03,
15120.0,,SKIN SPLIT A-GRAFT FAC/NECK/HF/G,1518.58,1450.58,,2972.49,2736.03,
15121.0,,SKIN SPLIT A-GRAFT F/N/HF/G ADDED,428.19,407.69,,2972.49,2736.03,
15130.0,,"DERM AUTOGRAFT, TRUNK/ARM/LEG",1077.48,1028.66,,2296.11,2113.44,
15170.0,,ACELLULAR GRAFT TRUNK/ARMS/LEGS,684.41,656.88,,619.29,570.03,
15171.0,,"ACELLULAR GRAFT T/ARM/LEG, ADDED",147.18,142.17,,421.8,388.26,
15175.0,,"ACELLULAR GRAFT, F/N/HF/G",810.6,779.34,,619.29,570.03,
15220.0,,SKIN FULL GRAFT SCALP/ARM/LEG,1237.46,1178.97,,2296.11,2113.44,
15221.0,,"SKIN FULL GRAFT, ADDED",222.58,211.34,,619.29,570.03,
15240.0,,SKIN FULL GRAFT FACE/GENITAL/HF,1491.27,1422.47,,2296.11,2113.44,
15241.0,,"SKIN FULL GRAFT, ADDED",297.89,283.58,,619.29,570.03,
15260.0, ,SKIN FULL GRAFT EEN & LIPS,1614.97,1541.12,,2296.11,2113.44,
15330.0,,APPLY ACELLULAR ALLOGRAFT T/ARM/LEG,513.93,491.81,,619.29,570.03,
15331.0,,"APPLY ACELLULAR GRAFT T/A/L, ADDED",100.16,96.58,,619.29,570.03,
15340.0,,APPLY CULT SKIN SUBSTITUTE,497.48,475.21,,421.8,388.26,
15341.0,,"APPLY CULT SKIN SUB, ADDED",75.02,71.44,,421.8,388.26,
15365.0,,APPLY CULT DERM SUB F/N/HF/G,542.33,517.83,,421.8,388.26,
15366.0,,APPLY CULT DERM F/HF/G ADDED,126.15,121.79,,421.8,388.26,
15430.0,,APPLY ACELLULAR XENOGRAFT,861.84,822.78,,619.29,570.03,
15431.0,,APPLY ACELLULAR XENOGRAFT ADDED,328.03,316.57,,619.29,570.03,
15570.0,,FORM SKIN PEDICLE FLAP,1424.66,1361.15,,2972.49,2736.03,
15572.0,,FORM SKIN PEDICLE FLAP,1388.47,1326.28,,2972.49,2736.03,
15574.0,,FORM SKIN PEDICLE FLAP,1451.66,1386.66,,2972.49,2736.03,
15576.0,,FORM SKIN PEDICLE FLAP,1291.01,1232.56,,2972.49,2736.03,
15620.0,,SKIN GRAFT,709.4,673.04,,2972.49,2736.03,
15732.0,,"MUSCLE-SKIN GRAFT, HEAD/NECK",2390.54,2290.95,,2972.49,2736.03,
15734.0,,"MUSCLE-SKIN GRAFT, TRUNK",2429.96,2329.2,,2972.49,2736.03,
15736.0,,"MUSCLE-SKIN GRAFT, ARM",2142.3,2051.77,,2972.49,2736.03,
15738.0,,"MUSCLE-SKIN GRAFT, LEG",2272.44,2179.61,,2972.49,2736.03,
15756.0,,FREE MYO/SKIN FLAP MICROVASC,3749.52,3610.13,,,,
15770.0,,DERMA-FAT-FASCIA GRAFT,1066.42,1022.37,,2972.49,2736.03,
15780.0,,ABRASION TREAT SKIN,1322.37,1259.08,,1641.36,1510.8,
15781.0,,ABRASION TREAT SKIN,879.47,835.31,,678.84,624.84,
15782.0,,ABRASION TREAT SKIN,900.92,853.46,,678.84,624.84,
15786.0,,"ABRASION, LESION, SING",391.74,371.66,,121.44,111.78,
15787.0,,"ABRASION, LESIONS, ADDED",78.22,73.91,,119.34,109.86,
15823.0,,REVISE UPPER EYELID,979.35,934.65,,2972.49,2736.03,
15830.0,,EXCISE SKIN ABD,979.35,934.65,,3188.13,2934.54,
15832.0,,EXCISE EXCESSIVE SKIN TISSUE,979.35,934.65,,3188.13,2934.54,
15851.0,,REMOVE SUTURES,152.95,145.19,,207.09,190.59,
15852.0,,DRESSING CHANGE NOT FOR BURN,73.04,70.73,,89.55,82.44,X
15940.0,,REMOVE HIP PRESSURE SORE,1088.76,1047.78,,3188.13,2934.54,
15941.0,,REMOVE HIP PRESSURE SORE,1419.04,1362.7,,3188.13,2934.54,
15944.0,,REMOVE HIP PRESSURE SORE,1410.54,1354.92,,2972.49,2736.03,
15945.0,,REMOVE HIP PRESSURE SORE,1566.36,1504.31,,2972.49,2736.03,
15946.0,,REMOVE HIP PRESSURE SORE,2593.22,2494.79,,2972.49,2736.03,
15950.0,,REMOVE THIGH PRESSURE SORE,898.37,863.19,,3188.13,2934.54,
15951.0,,REMOVE THIGH PRESSURE SORE,1357.84,1302.86,,3188.13,2934.54,
15952.0,,REMOVE THIGH PRESSURE SORE,1316.96,1267.76,,2296.11,2113.44,
15953.0,,REMOVE THIGH PRESSURE SORE,1445.87,1391.23,,2296.11,2113.44,
15956.0,,REMOVE THIGH PRESSURE SORE,1823.53,1754.01,,2296.11,2113.44,
15958.0,,REMOVE THIGH PRESSURE SORE,1864.2,1791.74,,2296.11,2113.44,
16000.0,,INITIAL TREAT BURN(S),107.89,103.23,,113.49,104.46,
16020.0,,"DRESS/DEBRIDE P-THICK BURN, S",132.5,125.94,,173.16,159.39,
16025.0,,"DRESS/DEBRIDE P-THICK BURN, M",234.02,223.91,,199.77,183.9,
16030.0,,"DRESS/DEBRIDE P-THICK BURN, L",282.6,269.99,,199.77,183.9,
17000.0,,DESTROY PREMALIG LESION,130.9,123.98,,121.44,111.78,
17003.0,,"DESTROY PREMALIG LES, 2-14",11.64,11.07,,15.21,14.01,
17004.0,,DESTROY PREMALIG LESIONS 15+,279.11,265.83,,343.95,316.59,
17106.0,,DESTROY SKIN LESIONS,550.21,524.12,,364.44,335.43,
17107.0,,DESTROY SKIN LESIONS,713.68,679.99,,364.44,335.43,
17108.0,,DESTROY SKIN LESIONS,1013.03,967.87,,364.44,335.43,
17110.0,,"DESTROY B9 LESION, 1-14",180.01,169.92,,121.44,111.78,
17111.0,,DSTRJ B9 SK TGS/CUTAN VASC 15/>,213.26,201.74,,199.77,183.9,
17250.0,,CHEM CAUT GRANLTJ TISS PROUD FLESH SINUS/FSTL,123.93,117.07,,190.68,175.53,
17261.0,,DESTROY SKIN LESIONS,232.56,220.55,,199.77,183.9,
17262.0,,DESTROY SKIN LESIONS,281.0,266.92,,199.77,183.9,
19000.0,,DRAIN BREAST LESION,179.37,169.75,,263.25,242.31,
19120.0,,REMOVE BREAST LESION,750.9,719.29,,3413.91,3142.35,
19125.0,,EXCISE BREAST LESION,832.58,797.97,,3413.91,3142.35,
19290.0,,"PLACE NEEDLE WIRE, BREAST",262.84,248.72,,,,"X, N1"
20100.0,,"EXPLORE WOUND, NECK",927.38,897.3,,,,
20101.0,,"EXPLORE WOUND, CHEST",648.74,615.47,,,,
20102.0,,"EXPLORE WOUND, ABDOMEN",764.14,725.33,,,,
20103.0,,"EXPLORE WOUND, EXTREMITY",914.65,869.73,,1735.95,1597.86,
20520.0,,REMOVE FOREIGN BODY,311.74,296.49,,401.28,369.36,
20525.0,,REMOVE FOREIGN BODY,763.77,723.36,,3188.13,2934.54,
20526.0,,"THERAPEUTIC INJECTION, CARP TUNNEL",118.45,113.27,,127.5,117.36,
20550.0,,INJECT TENDON SHEATH/LIGAMENT,89.97,86.03,,95.94,88.29,
20551.0,,INJECT TENDON ORIGIN/INSERT,91.72,87.67,,99.45,91.53,
20552.0,,"INJECT TRIGGER POINT, 1/2 MUSCLE",129.69,123.83,,94.77,87.21,
20553.0,,"INJECT TRIGGER POINTS, =/> 3",256.49,244.86,,107.64,99.06,
20600.0,,"DRAIN/INJ, JOINT/BURSA",85.46,81.58,,97.11,89.37,
20605.0,,"DRAIN/INJ, JOINT/BURSA",93.41,89.07,,109.98,101.22,
20610.0,,"DRAIN/INJ, JOINT/BURSA",168.19,160.06,,157.95,145.38,
20612.0,,ASPIRATE/INJECT GANGLION CYST,92.67,88.43,,106.47,98.01,
20615.0,,TREAT BONE CYST,347.6,330.96,,430.5,396.27,
20650.0,,INSERT & REMOVE BONE PIN,313.04,298.6,,3064.83,2821.05,
20662.0,,APPLY PELVIS BRACE,680.98,652.96,,3064.83,2821.05,
20663.0,,APPLY THIGH BRACE,724.98,694.28,,3064.83,2821.05,
20665.0,,REMOVE FIXATION DEVICE,,,,89.55,82.44,X
20670.0,,REMOVE SUPPORT IMPLANT,,,,2411.7,2219.85,
20680.0,,REMOVE SUPPORT IMPLANT,976.54,929.22,,3188.13,2934.54,
20690.0,,APPLY BONE FIXATION DEVICE,2428.13,2338.02,,4301.4,3959.25,
20692.0,,APPLY BONE FIXATION DEVICE,4571.37,4397.67,,4301.4,3959.25,
20693.0,,ADJUST BONE FIXATION DEVICE,1941.73,1861.31,,3064.83,2821.05,
20694.0,,REMOVE BONE FIXATION DEVICE,1824.61,1737.34,,3064.83,2821.05,
20696.0,,COMP MULTIPLANE EXT FIXATION,4555.72,4376.97,,4301.4,3959.25,
20697.0,,COMP EXT FIXATE STRUT CHANGE,7725.55,7206.79,,2779.53,2558.43,
20900.0,,REMOVE BONE FOR GRAFT,673.98,637.99,,4301.4,3959.25,
20902.0,,REMOVE BONE FOR GRAFT,519.31,498.66,,4301.4,3959.25,
20910.0,,REMOVE CARTILAGE FOR GRAFT,1037.67,992.57,,2972.49,2736.03,
20912.0,,REMOVE CARTILAGE FOR GRAFT,1198.06,1147.49,,2972.49,2736.03,
20920.0,,REMOVE FASCIA FOR GRAFT,985.25,943.49,,2296.11,2113.44,
20922.0,,REMOVE FASCIA FOR GRAFT,1471.19,1405.3,,2296.11,2113.44,
20924.0,,REMOVE TENDON FOR GRAFT,800.25,767.01,,4301.4,3959.25,
20926.0,,REMOVE TISSUE FOR GRAFT,692.39,664.11,,619.29,570.03,
20931.0,,"SP BONE ALLOGRAFT STRUCT, ADDED",480.89,465.78,,,,
20950.0,,"FLUID PRESSURE, MUSCLE",1090.1,1027.35,,198.84,183.03,
20955.0,,"FIBULA BONE GRAFT, MICROVASC",10896.0,10491.67,,,,
20974.0,,ELECTRICAL BONE STIMULATION,388.51,369.13,,,,
20975.0,,ELECTRICAL BONE STIMULATION,968.04,932.18,,,,"X, N1"
20979.0,,US BONE STIMULATION,288.61,275.42,,89.55,82.44,X
20985.0,,COMPUTER-ASSIST DIR MS PX,233.28,225.44,,,,"X, N1"
21060.0,,REMOVE JAW JOINT CARTILAGE,1303.59,1251.23,,5961.75,5487.51,
21070.0,,REMOVE CORONOID PROCESS,2683.05,2569.88,,5961.75,5487.51,
21073.0,,MANIPULATE TMJ W/ANESTH,625.03,593.86,,832.95,766.71,
21085.0,,PREPARE FACE/ORAL PROSTHESIS,1453.19,1375.54,,1265.82,1165.11,
21110.0,,INTERDENTAL FIXATION,1453.19,1375.54,,1056.45,972.42,
21116.0,,"INJECTION, JAW JOINT X-RAY",242.27,228.15,,,,"X, N1"
21209.0,,REDUCE FACIAL BONES,1356.76,1290.12,,5961.75,5487.51,
21210.0,,FACE BONE GRAFT,3584.38,3377.47,,5961.75,5487.51,
21240.0,,RECONSTRUCT JAW JOINT,3361.24,3224.68,,5961.75,5487.51,
21242.0,,RECONSTRUCT JAW JOINT,3085.47,2959.4,,5961.75,5487.51,
21243.0,,RECONSTRUCT JAW JOINT,5070.37,4866.28,,5961.75,5487.51,
21244.0,,RECONSTRUCT LOWER JAW,1701.06,1626.83,,5961.75,5487.51,
21245.0,,RECONSTRUCT JAW,1819.98,1735.61,,5961.75,5487.51,
21246.0,,RECONSTRUCT JAW,1327.8,1275.95,,5961.75,5487.51,
21247.0,,RECONSTRUCT LOWER JAW BONE,2579.7,2482.8,,5961.75,5487.51,
21248.0,,RECONSTRUCT JAW,1730.48,1651.07,,5961.75,5487.51,
21249.0,,RECONSTRUCT JAW,2370.58,2265.59,,5961.75,5487.51,
21310.0,,TREAT NOSE FX,185.45,174.76,,151.17,139.14,
21315.0,,TREAT NOSE FX,443.93,419.6,,2313.03,2129.04,
21320.0, ,TREAT NOSE FX,417.47,394.98,,2313.03,2129.04,
21325.0,,TREAT NOSE FX,772.19,732.88,,3421.41,3149.25,
21330.0,,TREAT NOSE FX,926.89,881.33,,3421.41,3149.25,
21335.0,,TREAT NOSE FX,1181.49,1128.42,,3421.41,3149.25,
21356.0,,TREAT CHEEK BONE FX,2159.27,2052.68,,3421.41,3149.25,
21360.0,,TREAT CHEEK BONE FX,2285.49,2187.85,,3421.41,3149.25,
21365.0,,TREAT CHEEK BONE FX,4774.53,4590.46,,,,
21366.0,,TREAT CHEEK BONE FX,5417.56,5210.5,,,,
21385.0,,TREAT EYE SOCKET FX,3005.24,2877.79,,,,
21386.0,,TREAT EYE SOCKET FX,2849.94,2739.14,,,,
21390.0,,TREAT EYE SOCKET FX,3399.51,3262.8,,5961.75,5487.51,
21395.0,,TREAT EYE SOCKET FX,4165.36,3999.96,,,,
21400.0,,TREAT EYE SOCKET FX,807.13,765.31,,1056.45,972.42,
21401.0,,TREAT EYE SOCKET FX,2088.19,1978.92,,2313.03,2129.04,
21406.0,,TREAT EYE SOCKET FX,2367.98,2266.67,,5961.75,5487.51,
21407.0,,TREAT EYE SOCKET FX,2782.8,2670.16,,5961.75,5487.51,
21408.0,,TREAT EYE SOCKET FX,3870.37,3718.17,,,,
21450.0,,TREAT LOWER JAW FX,954.01,901.26,,474.09,436.38,
21451.0,,TREAT LOWER JAW FX,1231.95,1165.53,,1056.45,972.42,
21452.0,,TREAT LOWER JAW FX,969.53,911.95,,2313.03,2129.04,
21453.0, ,TREAT LOWER JAW FX,1437.35,1360.7,,5961.75,5487.51,
21454.0,,TREAT LOWER JAW FX,889.43,850.92,,3421.41,3149.25,
21461.0,,TREAT LOWER JAW FX,3370.55,3171.8,,5961.75,5487.51,
21462.0,,TREAT LOWER JAW FX,3567.33,3359.58,,5961.75,5487.51,
21465.0,,TREAT LOWER JAW FX,1514.36,1453.74,,5961.75,5487.51,
21470.0,,TREAT LOWER JAW FX,1919.57,1843.61,,,,
21800.0, ,TREAT RIB FX,164.26,156.32,,210.6,193.83,
21820.0,,TREAT STERNUM FX,217.62,207.24,,210.6,193.83,
21825.0,,TREAT STERNUM FX,900.11,864.97,,,,
22305.0,,TREAT SPINE PROCESS FX,,,,210.6,193.83,
22310.0,,TREAT SPINE FX,,,,734.37,675.96,
22315.0,,TREAT SPINE FX,3738.68,3578.03,,2779.53,2558.43,
22505.0,,MANIPULATE SPINE,214.24,206.29,,2074.56,1909.53,
22520.0,,PERCUT VERTEBROPLASTY THORACIC,,,,4301.4,3959.25,
22521.0,,PERCUT VERTEBROPLASTY LUMBAR,,,,4301.4,3959.25,
22522.0,,PERCUT VERTEBROPLASTY ADDED,,,,4301.4,3959.25,
22554.0,,NECK SPINE FUSION,6185.12,5961.42,,,,
22585.0,,ADDED SPINAL FUSION,1650.2,1597.95,,,,
22845.0,,INSERT SPINE FIXATION DEVICE,4518.17,4376.06,,,,
22851.0,,APPLY SPINE PROSTH DEVICE,2507.61,2427.54,,,,
23120.0,,PARTIAL REMOVE COLLAR BONE,3521.55,3374.09,,4301.4,3959.25,
23125.0,,REMOVE COLLAR BONE,4270.68,4099.77,,4301.4,3959.25,
23130.0,,"REMOVE SHOULDER BONE, PART",3681.64,3527.78,,6312.78,5810.61,
23331.0,,REMOVE SHOULDER FOREIGN BODY,3576.37,3428.03,,3188.13,2934.54,
23332.0,,REMOVE SHOULDER FOREIGN BODY,5348.95,5138.14,,,,
23350.0,,INJECTION FOR SHOULDER X-RAY,245.78,232.06,,,,"X, N1"
23405.0,,TX SHO AREA 1 TDN,989.02,949.25,,4301.4,3959.25,
